partition_column,movie_id,movie_name,rating,user_id
241,554,Waterworld (1995),4,87
242,109,Mystery Science Theater 3000: The Movie (1996),4,294
243,171,Delicatessen (1991),4,286
244,318,Schindler's List (1993),5,200
245,328,Conspiracy Theory (1997),1,229
246,568,Speed (1994),4,178
247,842,Pollyanna (1960),2,303
248,65,What's Eating Gilbert Grape (1993),4,62
249,591,Primal Fear (1996),3,207
250,172,Empire Strikes Back,4,92
251,401,Brady Bunch Movie,4,301
252,339,Mad City (1997),5,36
253,746,Real Genius (1985),3,70
254,242,Kolya (1996),3,63
255,201,Evil Dead II (1987),3,28
256,68,Crow,4,279
257,7,Twelve Monkeys (1995),4,250
258,98,Silence of the Lambs,3,14
259,1018,Tie Me Up! Tie Me Down! (1990),3,299
260,54,Outbreak (1995),3,194
261,815,One Fine Day (1996),3,303
262,237,Jerry Maguire (1996),5,119
263,218,Cape Fear (1991),5,295
264,930,Chain Reaction (1996),2,268
265,2,GoldenEye (1995),2,268
266,258,Contact (1997),4,66
267,202,Groundhog Day (1993),5,233
268,623,Angels in the Outfield (1994),4,83
269,334,U Turn (1997),3,214
270,476,First Wives Club,2,192
271,344,Apostle,4,100
272,145,Lawnmower Man,1,268
273,56,Pulp Fiction (1994),4,301
274,89,Blade Runner (1982),5,307
275,141,,3,234
276,576,Cliffhanger (1993),4,83
277,264,Mimic (1997),2,181
278,133,Gone with the Wind (1939),4,297
279,153,Fish Called Wanda,5,38
280,382,Adventures of Priscilla,4,7
281,813,Celluloid Closet,4,264
282,872,Love Jones (1997),1,181
283,146,Unhook the Stars (1996),1,201
284,507,Streetcar Named Desire,4,85
285,367,Clueless (1995),3,269
286,468,Rudy (1993),3,59
287,143,Sound of Music,4,286
288,96,Terminator 2: Judgment Day (1991),1,193
289,595,Fan,5,113
290,11,Seven (Se7en) (1995),5,292
291,1014,Romy and Michele's High School Reunion (1997),3,130
292,98,Silence of the Lambs,4,275
293,520,Great Escape,5,189
294,82,Jurassic Park (1993),1,219
295,209,This Is Spinal Tap (1984),5,218
296,427,To Kill a Mockingbird (1962),3,123
297,222,Star Trek: First Contact (1996),5,119
298,177,Good,4,158
299,118,Twister (1996),4,222
300,322,Murder at 1600 (1997),2,302
301,501,Dumbo (1941),3,279
302,79,Fugitive,5,301
303,3,Four Rooms (1995),2,181
304,695,Kicking and Screaming (1995),1,201
305,198,Nikita (La Femme Nikita) (1990),3,13
306,189,Grand Day Out,3,1
307,237,Jerry Maguire (1996),5,145
308,385,True Lies (1994),4,23
309,767,Addiction,4,201
310,705,Singin' in the Rain (1952),5,296
311,546,Broken Arrow (1996),3,42
312,872,Love Jones (1997),3,33
313,554,Waterworld (1995),3,301
314,64,Shawshank Redemption,5,16
315,135,2001: A Space Odyssey (1968),3,95
316,357,One Flew Over the Cuckoo's Nest (1975),4,154
317,484,Maltese Falcon,5,77
318,508,People vs. Larry Flynt,5,296
319,303,Ulee's Gold (1997),2,302
320,673,Cape Fear (1962),3,244
321,77,Firm,4,222
322,215,Field of Dreams (1989),5,13
323,705,Singin' in the Rain (1952),5,16
324,452,Jaws 2 (1978),4,270
325,15,Mr. Holland's Opus (1995),2,145
326,64,Shawshank Redemption,5,187
327,304,Fly Away Home (1996),5,200
328,749,MatchMaker,5,170
329,829,Fled (1996),3,101
330,218,Cape Fear (1991),3,184
331,204,Back to the Future (1985),4,128
332,1295,Kicked in the Head (1997),1,181
333,153,Fish Called Wanda,3,184
334,33,Desperado (1995),4,1
335,160,Glengarry Glen Ross (1992),4,1
336,321,Mother (1996),5,184
337,595,Fan,3,54
338,343,Alien: Resurrection (1997),4,94
339,508,People vs. Larry Flynt,4,128
340,323,Dante's Peak (1997),2,23
341,227,Star Trek VI: The Undiscovered Country (1991),3,301
342,191,Amadeus (1984),3,301
343,903,Afterglow (1997),1,112
344,183,Alien (1979),3,82
345,724,Circle of Friends (1995),3,222
346,430,Duck Soup (1933),3,218
347,1197,Family Thing,4,308
348,134,Citizen Kane (1941),5,303
349,751,Tomorrow Never Dies (1997),3,133
350,212,Unbearable Lightness of Being,2,215
351,256,When the Cats Away (Chacun cherche son chat) (1996),5,69
352,662,Somewhere in Time (1980),4,254
353,2,GoldenEye (1995),4,276
354,984,Shadow Conspiracy (1997),1,104
355,1067,Bottle Rocket (1996),3,63
356,410,Kingpin (1996),4,267
357,56,Pulp Fiction (1994),5,13
358,879,Peacemaker,3,240
359,237,Jerry Maguire (1996),2,286
360,271,Starship Troopers (1997),5,294
361,1086,It's My Party (1995),4,90
362,26,Brothers McMullen,4,18
363,229,Star Trek III: The Search for Spock (1984),3,92
364,649,Once Upon a Time in America (1984),4,308
365,89,Blade Runner (1982),3,144
366,302,L.A. Confidential (1997),4,191
367,951,Indian in the Cupboard,3,59
368,96,Terminator 2: Judgment Day (1991),5,200
369,197,Graduate,5,16
370,678,Volcano (1997),3,61
371,199,Bridge on the River Kwai,4,271
372,709,Strictly Ballroom (1992),3,271
373,169,Wrong Trousers,5,142
374,597,Eraser (1996),3,275
375,151,Willy Wonka and the Chocolate Factory (1971),3,222
376,40,To Wong Foo,3,87
377,258,Contact (1997),4,207
378,1393,Stag (1997),2,272
379,333,Game,4,177
380,1115,Twelfth Night (1996),2,207
381,577,Coneheads (1993),3,299
382,378,Miracle on 34th Street (1994),4,271
383,425,Bob Roberts (1992),4,305
384,959,Dazed and Confused (1993),2,49
385,1224,Scout,3,94
386,1017,Trees Lounge (1996),3,130
387,175,Brazil (1985),3,10
388,321,Mother (1996),3,203
389,286,English Patient,4,191
390,323,Dante's Peak (1997),3,43
391,558,Heavenly Creatures (1994),5,21
392,96,Terminator 2: Judgment Day (1991),5,197
393,344,Apostle,2,13
394,66,While You Were Sleeping (1995),3,194
395,206,Akira (1988),4,234
396,402,Ghost (1990),4,308
397,640,Cook the Thief His Wife & Her Lover,4,308
398,522,Down by Law (1986),5,269
399,265,Hunt for Red October,4,94
400,62,Stargate (1994),3,268
401,12,Usual Suspects,5,272
402,291,Absolute Power (1997),3,121
403,20,Angels and Insects (1995),5,296
404,286,English Patient,3,134
405,462,Like Water For Chocolate (Como agua para chocolate) (1992),5,180
406,612,Lost Horizon (1937),3,234
407,117,Rock,2,104
408,758,Lawnmower Man 2: Beyond Cyberspace (1996),1,38
409,845,That Thing You Do! (1996),1,269
410,163,Return of the Pink Panther,4,7
411,1451,Foreign Correspondent (1940),3,234
412,405,Mission: Impossible (1996),2,275
413,250,Fifth Element,3,52
414,823,Mulholland Falls (1996),3,102
415,186,Blues Brothers,4,13
416,731,Corrina,4,178
417,71,Lion King,3,236
418,781,French Kiss (1995),5,256
419,176,Aliens (1986),5,263
420,186,Blues Brothers,3,244
421,1181,Low Down Dirty Shame,4,279
422,815,One Fine Day (1996),4,43
423,78,Free Willy (1993),2,83
424,197,Graduate,5,151
425,436,American Werewolf in London,2,254
426,631,Crying Game,3,109
427,716,Home for the Holidays (1995),3,297
428,188,Full Metal Jacket (1987),4,249
429,699,Little Women (1994),4,144
430,604,It Happened One Night (1934),4,301
431,392,Man Without a Face,3,64
432,501,Dumbo (1941),2,92
433,97,Dances with Wolves (1990),4,222
434,436,American Werewolf in London,3,268
435,135,2001: A Space Odyssey (1968),5,293
436,173,Princess Bride,5,213
437,460,Crossing Guard,2,160
438,498,African Queen,4,13
439,715,To Die For (1995),5,59
440,17,From Dusk Till Dawn (1996),4,5
441,163,Return of the Pink Panther,5,125
442,315,Apt Pupil (1998),5,174
443,505,Dial M for Murder (1954),3,114
444,515,Boot,4,213
445,196,Dead Poets Society (1989),2,23
446,15,Mr. Holland's Opus (1995),4,128
447,56,Pulp Fiction (1994),4,239
448,279,Once Upon a Time... When We Were Colored (1995),1,181
449,80,Hot Shots! Part Deux (1993),4,291
450,238,Raising Arizona (1987),4,250
451,649,Once Upon a Time in America (1984),3,201
452,60,Three Colors: Blue (1993),5,60
453,325,Crash (1996),2,181
454,407,Spy Hard (1996),3,119
455,1,Toy Story (1995),5,287
456,228,Star Trek: The Wrath of Khan (1982),3,216
457,531,Shine (1996),4,216
458,471,Courage Under Fire (1996),4,203
459,587,Hour of the Pig,3,92
460,892,Flubber (1997),3,13
461,176,Aliens (1986),4,213
462,288,Scream (1996),5,286
463,1047,Multiplicity (1996),2,117
464,111,Truth About Cats & Dogs,1,99
465,558,Heavenly Creatures (1994),3,11
466,47,Ed Wood (1994),2,65
467,194,Sting,4,295
468,217,Bram Stoker's Dracula (1992),2,269
469,259,George of the Jungle (1997),2,85
470,596,Hunchback of Notre Dame,5,250
471,144,Die Hard (1988),5,137
472,960,Naked (1993),2,201
473,137,Big Night (1996),4,257
474,328,Conspiracy Theory (1997),4,111
475,480,North by Northwest (1959),4,91
476,211,M*A*S*H (1970),4,215
477,938,Smile Like Yours,1,181
478,1060,Adventures of Pinocchio,5,189
479,20,Angels and Insects (1995),4,1
480,404,Pinocchio (1940),4,303
481,305,Ice Storm,3,299
482,210,Indiana Jones and the Last Crusade (1989),4,187
483,278,Bed of Roses (1996),2,222
484,568,Speed (1994),4,214
485,770,Devil in a Blue Dress (1995),3,293
486,191,Amadeus (1984),4,285
487,252,Lost World: Jurassic Park,3,303
488,156,Reservoir Dogs (1992),4,96
489,1110,Tank Girl (1995),3,72
490,1067,Bottle Rocket (1996),4,115
491,430,Duck Soup (1933),3,7
492,350,Fallen (1998),3,116
493,480,North by Northwest (1959),4,73
494,246,Chasing Amy (1997),5,269
495,419,Mary Poppins (1964),5,263
496,431,Highlander (1986),3,70
497,475,Trainspotting (1996),4,221
498,182,GoodFellas (1990),5,72
499,357,One Flew Over the Cuckoo's Nest (1975),4,25
500,50,Star Wars (1977),5,290
501,526,Ben-Hur (1959),4,189
502,303,Ulee's Gold (1997),3,299
503,294,Liar Liar (1997),3,264
504,365,Powder (1995),5,200
505,135,2001: A Space Odyssey (1968),4,187
506,187,Godfather: Part II,4,184
507,289,Evita (1996),2,63
508,229,Star Trek III: The Search for Spock (1984),4,13
509,486,Sabrina (1954),3,298
510,185,Psycho (1960),4,235
511,712,Tin Men (1987),4,62
512,94,Home Alone (1990),2,246
513,742,Ransom (1996),5,54
514,762,Beautiful Girls (1996),3,63
515,732,Dave (1993),3,11
516,168,Monty Python and the Holy Grail (1974),4,92
517,550,Die Hard: With a Vengeance (1995),3,8
518,174,Raiders of the Lost Ark (1981),4,307
519,200,Shining,4,303
520,849,Days of Thunder (1990),2,256
521,54,Outbreak (1995),3,72
522,406,Thinner (1996),2,164
523,150,Swingers (1996),4,117
524,77,Firm,4,224
525,869,Fools Rush In (1997),3,193
526,184,Army of Darkness (1993),2,94
527,338,Bean (1997),2,281
528,109,Mystery Science Theater 3000: The Movie (1996),3,130
529,371,Bridges of Madison County,1,128
530,720,First Knight (1995),1,94
531,845,That Thing You Do! (1996),3,182
532,873,Picture Perfect (1997),1,129
533,229,Star Trek III: The Search for Spock (1984),4,254
534,381,Muriel's Wedding (1994),4,64
535,176,Aliens (1986),2,151
536,25,Birdcage,4,45
537,879,Peacemaker,3,193
538,922,Dead Man (1995),4,276
539,57,Priest (1994),3,276
540,187,Godfather: Part II,4,234
541,306,Mrs. Brown (Her Majesty,1,181
542,370,Mary Reilly (1996),1,21
543,249,Austin Powers: International Man of Mystery (1997),3,293
544,721,Mallrats (1995),5,264
545,611,Laura (1944),5,10
546,346,Jackie Brown (1997),3,197
547,142,Bedknobs and Broomsticks (1971),3,276
548,427,To Kill a Mockingbird (1962),4,308
549,943,Killing Zoe (1994),4,221
550,126,Spitfire Grill,4,131
551,824,Great White Hype,2,268
552,8,Babe (1995),3,109
553,58,Quiz Show (1994),3,198
554,680,Kull the Conqueror (1997),4,230
555,741,Last Supper,1,181
556,1061,Evening Star,4,192
557,448,Omen,3,234
558,900,Kundun (1997),4,90
559,941,With Honors (1994),4,193
560,603,Rear Window (1954),5,128
561,905,Great Expectations (1998),2,126
562,265,Hunt for Red October,4,244
563,289,Evita (1996),3,90
564,25,Birdcage,3,157
565,71,Lion King,3,305
566,382,Adventures of Priscilla,5,119
567,222,Star Trek: First Contact (1996),2,21
568,181,Return of the Jedi (1983),4,231
569,508,People vs. Larry Flynt,3,280
570,132,Wizard of Oz,3,288
571,1497,Line King: Al Hirschfeld,2,279
572,33,Desperado (1995),4,301
573,699,Little Women (1994),3,72
574,259,George of the Jungle (1997),2,90
575,55,Professional,3,308
576,742,Ransom (1996),3,59
577,744,Michael Collins (1996),4,94
578,642,Grifters,4,130
579,1015,Shiloh (1997),3,26
580,121,Independence Day (ID4) (1996),5,56
581,508,People vs. Larry Flynt,2,82
582,12,Usual Suspects,4,62
583,40,To Wong Foo,3,276
584,1015,Shiloh (1997),1,181
585,301,In & Out (1997),3,152
586,845,That Thing You Do! (1996),4,178
587,597,Eraser (1996),4,217
588,303,Ulee's Gold (1997),4,79
589,484,Maltese Falcon,4,138
590,81,Hudsucker Proxy,5,308
591,284,Tin Cup (1996),2,75
592,198,Nikita (La Femme Nikita) (1990),4,269
593,94,Home Alone (1990),3,307
594,781,French Kiss (1995),3,222
595,740,Jane Eyre (1996),3,121
596,22,Braveheart (1995),1,269
597,864,My Fellow Americans (1996),4,13
598,742,Ransom (1996),5,230
599,507,Streetcar Named Desire,4,269
600,1099,Red Firecracker,5,239
601,1028,Grumpier Old Men (1995),5,245
602,546,Broken Arrow (1996),3,56
603,961,Orlando (1993),5,295
604,1028,Grumpier Old Men (1995),2,271
605,812,Andre (1994),2,222
606,240,Beavis and Butt-head Do America (1996),3,69
607,7,Twelve Monkeys (1995),4,10
608,376,Houseguest (1994),3,22
609,931,Island of Dr. Moreau,3,294
610,717,Juror,1,82
611,399,Three Musketeers,4,279
612,234,Jaws (1975),1,269
613,98,Silence of the Lambs,5,6
614,1039,Hamlet (1996),4,243
615,181,Return of the Jedi (1983),4,298
616,325,Crash (1996),1,282
617,323,Dante's Peak (1997),1,78
618,200,Shining,5,118
619,1114,Faithful (1996),5,283
620,292,Rosewood (1997),4,171
621,217,Bram Stoker's Dracula (1992),4,70
622,100,Fargo (1996),5,10
623,181,Return of the Jedi (1983),4,245
624,333,Game,3,107
625,561,Mary Shelley's Frankenstein (1994),1,246
626,901,Mr. Magoo (1997),1,13
627,70,Four Weddings and a Funeral (1994),4,276
628,17,From Dusk Till Dawn (1996),2,244
629,56,Pulp Fiction (1994),5,189
630,242,Kolya (1996),5,226
631,1016,Con Air (1997),4,62
632,417,Parent Trap,4,276
633,478,Philadelphia Story,4,214
634,235,Mars Attacks! (1996),4,306
635,26,Brothers McMullen,3,222
636,631,Crying Game,5,280
637,430,Duck Soup (1933),5,60
638,71,Lion King,4,56
639,274,Sabrina (1995),5,42
640,202,Groundhog Day (1993),5,1
641,809,Rising Sun (1993),4,13
642,289,Evita (1996),4,173
643,749,MatchMaker,1,15
644,23,Taxi Driver (1976),4,185
645,540,Money Train (1995),3,280
646,381,Muriel's Wedding (1994),4,244
647,293,Donnie Brasco (1997),4,150
648,497,Bringing Up Baby (1938),4,7
649,317,In the Name of the Father (1993),4,178
650,742,Ransom (1996),3,178
651,1217,Assassins (1995),3,95
652,1462,Thieves (Voleurs,3,234
653,222,Star Trek: First Contact (1996),5,97
654,127,Godfather,2,109
655,268,Chasing Amy (1997),5,117
656,705,Singin' in the Rain (1952),2,269
657,1246,Bushwhacked (1995),3,130
658,655,Stand by Me (1986),4,264
659,13,Mighty Aphrodite (1995),3,207
660,588,Beauty and the Beast (1991),5,42
661,409,Jack (1996),2,246
662,367,Clueless (1995),4,87
663,304,Fly Away Home (1996),3,101
664,127,Godfather,4,256
665,794,It Could Happen to You (1994),3,92
666,762,Beautiful Girls (1996),2,181
667,235,Mars Attacks! (1996),1,213
668,739,Pretty Woman (1990),2,92
669,661,High Noon (1952),5,292
670,665,Alien 3 (1992),4,246
671,845,That Thing You Do! (1996),5,274
672,692,American President,5,188
673,86,Remains of the Day,4,18
674,439,Amityville: A New Generation (1993),1,5
675,632,Sophie's Choice (1982),3,236
676,407,Spy Hard (1996),4,193
677,709,Strictly Ballroom (1992),4,144
678,1198,Purple Noon (1960),5,90
679,609,Father of the Bride (1950),4,48
680,225,101 Dalmatians (1996),2,5
681,128,Supercop (1992),5,22
682,432,Fantasia (1940),4,311
683,22,Braveheart (1995),5,8
684,188,Full Metal Jacket (1987),4,276
685,173,Princess Bride,5,222
686,866,Michael (1996),4,72
687,134,Citizen Kane (1941),4,299
688,171,Delicatessen (1991),5,1
689,295,Breakdown (1997),3,308
690,216,When Harry Met Sally... (1989),4,165
691,49,I.Q. (1994),3,222
692,121,Independence Day (ID4) (1996),4,181
693,11,Seven (Se7en) (1995),5,200
694,626,So Dear to My Heart (1949),4,234
695,707,Enchanted April (1991),4,244
696,25,Birdcage,5,90
697,216,When Harry Met Sally... (1989),5,208
698,96,Terminator 2: Judgment Day (1991),4,263
699,323,Dante's Peak (1997),4,134
700,586,Terminal Velocity (1994),4,279
701,292,Rosewood (1997),4,2
702,593,Stalingrad (1993),2,288
703,302,L.A. Confidential (1997),4,49
704,153,Fish Called Wanda,5,286
705,304,Fly Away Home (1996),3,205
706,80,Hot Shots! Part Deux (1993),4,22
707,318,Schindler's List (1993),4,234
708,328,Conspiracy Theory (1997),3,223
709,25,Birdcage,3,15
710,147,Long Kiss Goodnight,4,268
711,1220,Higher Learning (1995),3,94
712,405,Mission: Impossible (1996),4,274
713,492,East of Eden (1955),5,7
714,217,Bram Stoker's Dracula (1992),2,268
715,55,Professional,5,16
716,620,Chamber,3,164
717,161,Top Gun (1986),4,290
718,515,Boot,4,92
719,1070,Living in Oblivion (1995),5,239
720,449,Star Trek: The Motion Picture (1979),5,56
721,234,Jaws (1975),4,248
722,10,Richard III (1995),3,234
723,1049,House Arrest (1996),2,280
724,187,Godfather: Part II,5,308
725,64,Shawshank Redemption,5,276
726,948,Booty Call (1997),3,192
727,509,My Left Foot (1989),4,122
728,588,Beauty and the Beast (1991),3,85
729,931,Island of Dr. Moreau,2,262
730,272,Good Will Hunting (1997),3,201
731,870,Touch (1997),2,181
732,739,Pretty Woman (1990),4,295
733,568,Speed (1994),4,263
734,39,Strange Days (1995),4,295
735,1100,What Happened Was... (1994),4,201
736,820,Space Jam (1996),3,93
737,1028,Grumpier Old Men (1995),5,159
738,665,Alien 3 (1992),2,158
739,423,E.T. the Extra-Terrestrial (1982),3,293
740,597,Eraser (1996),3,82
741,181,Return of the Jedi (1983),5,276
742,823,Mulholland Falls (1996),5,13
743,2,GoldenEye (1995),3,217
744,660,Fried Green Tomatoes (1991),4,83
745,20,Angels and Insects (1995),5,189
746,796,Speechless (1994),4,222
747,1022,Fast,5,146
748,121,Independence Day (ID4) (1996),3,267
749,294,Liar Liar (1997),3,126
750,1060,Adventures of Pinocchio,1,181
751,80,Hot Shots! Part Deux (1993),4,125
752,120,Striptease (1996),4,43
753,780,Dumb & Dumber (1994),1,13
