movie_id,movie_name,count
154,Monty Python's Life of Brian (1979),46
48,Hoop Dreams (1994),45
125,Phenomenon (1996),45
340,Boogie Nights (1997),45
523,Cool Hand Luke (1967),44
298,Face/Off (1997),44
528,Killing Fields,44
273,Heat (1995),44
213,Room with a View,44
25,Birdcage,43
419,Mary Poppins (1964),43
203,Unforgiven (1992),43
316,As Good As It Gets (1997),43
750,Amistad (1997),41
568,Speed (1994),41
660,Fried Green Tomatoes (1991),40
385,True Lies (1994),40
328,Conspiracy Theory (1997),40
242,Kolya (1996),40
582,Piano,40
485,My Fair Lady (1964),40
659,Arsenic and Old Lace (1944),40
87,Searching for Bobby Fischer (1993),40
246,Chasing Amy (1997),40
433,Heathers (1989),39
663,Being There (1979),39
735,Philadelphia (1993),39
136,Mr. Smith Goes to Washington (1939),39
198,Nikita (La Femme Nikita) (1990),39
283,Emma (1996),39
114,Wallace & Gromit: The Best of Aardman Animation (1996),38
478,Philadelphia Story,38
161,Top Gun (1986),38
521,Deer Hunter,37
709,Strictly Ballroom (1992),37
531,Shine (1996),37
116,Cold Comfort Farm (1995),36
99,Snow White and the Seven Dwarfs (1937),36
510,Magnificent Seven,36
70,Four Weddings and a Funeral (1994),36
118,Twister (1996),35
193,Right Stuff,35
177,Good,35
919,City of Lost Children,35
443,Birds,35
188,Full Metal Jacket (1987),35
405,Mission: Impossible (1996),35
748,Saint,34
513,Third Man,34
430,Duck Soup (1933),34
504,Bonnie and Clyde (1967),33
451,Grease (1978),33
462,Like Water For Chocolate (Como agua para chocolate) (1992),33
250,Fifth Element,33
230,Star Trek IV: The Voyage Home (1986),32
508,People vs. Larry Flynt,32
129,Bound (1996),32
526,Ben-Hur (1959),32
91,Nightmare Before Christmas,32
59,Three Colors: Red (1994),32
55,Professional,32
88,Sleepless in Seattle (1993),32
684,In the Line of Fire (1993),31
763,Happy Gilmore (1996),31
661,High Noon (1952),31
126,Spitfire Grill,30
647,Ran (1985),30
431,Highlander (1986),30
428,Harold and Maude (1971),30
289,Evita (1996),30
271,Starship Troopers (1997),30
147,Long Kiss Goodnight,30
111,Truth About Cats & Dogs,30
45,Eat Drink Man Woman (1994),29
326,G.I. Jane (1997),29
471,Courage Under Fire (1996),29
4,Get Shorty (1995),29
732,Dave (1993),28
509,My Left Foot (1989),28
47,Ed Wood (1994),28
346,Jackie Brown (1997),28
525,Big Sleep,28
306,Mrs. Brown (Her Majesty,28
327,Cop Land (1997),27
157,Platoon (1986),27
692,American President,27
530,Man Who Would Be King,27
488,Sunset Blvd. (1950),27
1039,Hamlet (1996),27
274,Sabrina (1995),27
529,My Life as a Dog (Mitt liv som hund) (1985),27
923,Raise the Red Lantern (1991),26
652,Rosencrantz and Guildenstern Are Dead (1990),26
736,Shadowlands (1993),26
293,Donnie Brasco (1997),26
506,Rebel Without a Cause (1955),26
10,Richard III (1995),26
301,In & Out (1997),26
378,Miracle on 34th Street (1994),26
402,Ghost (1990),26
60,Three Colors: Blue (1993),26
251,Shall We Dance? (1996),25
66,While You Were Sleeping (1995),25
93,Welcome to the Dollhouse (1995),25
633,Christmas Carol,25
845,That Thing You Do! (1996),25
189,Grand Day Out,25
255,My Best Friend's Wedding (1997),25
487,Roman Holiday (1953),25
707,Enchanted April (1991),25
317,In the Name of the Father (1993),25
19,Antonia's Line (1995),25
429,Day the Earth Stood Still,25
517,Manhattan (1979),24
591,Primal Fear (1996),24
519,Treasure of the Sierra Madre,24
421,William Shakespeare's Romeo and Juliet (1996),24
512,Wings of Desire (1987),24
690,Seven Years in Tibet (1997),24
631,Crying Game,24
507,Streetcar Named Desire,24
307,Devil's Advocate,24
81,Hudsucker Proxy,24
248,Grosse Pointe Blank (1997),24
58,Quiz Show (1994),24
241,Last of the Mohicans,24
13,Mighty Aphrodite (1995),24
470,Tombstone (1993),24
493,Thin Man,23
606,All About Eve (1950),23
165,Jean de Florette (1986),23
164,Abyss,23
319,Everyone Says I Love You (1996),23
516,Local Hero (1983),23
481,Apartment,23
746,Real Genius (1985),23
162,On Golden Pond (1981),23
382,Adventures of Priscilla,23
604,It Happened One Night (1934),23
32,Crumb (1994),23
131,Breakfast at Tiffany's (1961),23
739,Pretty Woman (1990),23
866,Michael (1996),22
68,Crow,22
270,Gattaca (1997),22
628,Sleepers (1996),22
292,Rosewood (1997),22
303,Ulee's Gold (1997),22
566,Clear and Present Danger (1994),22
1016,Con Air (1997),22
393,Mrs. Doubtfire (1993),22
347,Wag the Dog (1997),22
24,Rumble in the Bronx (1995),22
201,Evil Dead II (1987),22
304,Fly Away Home (1996),22
184,Army of Darkness (1993),21
969,Winnie the Pooh and the Blustery Day (1968),21
219,Nightmare on Elm Street,21
648,Quiet Man,21
239,Sneakers (1992),21
501,Dumbo (1941),21
226,Die Hard 2 (1990),21
31,Crimson Tide (1995),21
607,Rebecca (1940),21
403,Batman (1989),21
109,Mystery Science Theater 3000: The Movie (1996),21
52,Madness of King George,21
171,Delicatessen (1991),20
615,39 Steps,20
1073,Shallow Grave (1994),20
963,Some Folks Call It a Sling Blade (1993),20
497,Bringing Up Baby (1938),20
212,Unbearable Lightness of Being,20
249,Austin Powers: International Man of Mystery (1997),20
235,Mars Attacks! (1996),20
214,Pink Floyd - The Wall (1982),20
324,Lost Highway (1997),20
418,Cinderella (1950),20
650,Seventh Seal,20
693,Casino (1995),19
751,Tomorrow Never Dies (1997),19
166,Manon of the Spring (Manon des sources) (1986),19
207,Cyrano de Bergerac (1990),19
218,Cape Fear (1991),19
221,Breaking the Waves (1996),19
367,Clueless (1995),19
463,Secret of Roan Inish,19
694,Persuasion (1995),19
323,Dante's Peak (1997),19
425,Bob Roberts (1992),19
596,Hunchback of Notre Dame,18
404,Pinocchio (1940),18
332,Kiss the Girls (1997),18
632,Sophie's Choice (1982),18
505,Dial M for Murder (1954),18
887,Eve's Bayou (1997),18
699,Little Women (1994),18
381,Muriel's Wedding (1994),18
472,Dragonheart (1996),18
262,In the Company of Men (1997),17
447,Carrie (1976),17
321,Mother (1996),17
589,Wild Bunch,17
465,Jungle Book,17
310,Rainmaker,17
813,Celluloid Closet,17
559,Interview with the Vampire (1994),17
410,Kingpin (1996),17
921,Farewell My Concubine (1993),17
331,Edge,17
489,Notorious (1946),17
57,Priest (1994),17
1142,When We Were Kings (1996),17
92,True Romance (1993),16
855,Diva (1981),16
305,Ice Storm,16
524,Great Dictator,16
61,Three Colors: White (1994),16
924,White Squall (1996),16
550,Die Hard: With a Vengeance (1995),16
53,Natural Born Killers (1994),16
33,Desperado (1995),16
597,Eraser (1996),16
611,Laura (1944),16
1028,Grumpier Old Men (1995),15
685,Executive Decision (1996),15
343,Alien: Resurrection (1997),15
152,Sleeper (1973),15
494,His Girl Friday (1940),15
434,Forbidden Planet (1956),15
476,First Wives Club,15
227,Star Trek VI: The Undiscovered Country (1991),15
51,Legends of the Fall (1994),15
558,Heavenly Creatures (1994),15
641,Paths of Glory (1957),15
518,Miller's Crossing (1990),15
245,Devil's Own,15
1065,Koyaanisqatsi (1983),15
1021,8 1/2 (1963),14
229,Star Trek III: The Search for Spock (1984),14
217,Bram Stoker's Dracula (1992),14
499,Cat on a Hot Tin Roof (1958),14
73,Maverick (1994),14
713,Othello (1995),14
455,Jackie Chan's First Strike (1996),14
469,Short Cuts (1993),14
658,Pump Up the Volume (1990),14
1007,Waiting for Guffman (1996),14
486,Sabrina (1954),14
284,Tin Cup (1996),14
879,Peacemaker,14
762,Beautiful Girls (1996),14
20,Angels and Insects (1995),14
77,Firm,14
148,Ghost and the Darkness,14
792,Bullets Over Broadway (1994),14
1101,Six Degrees of Separation (1993),14
656,M (1931),14
65,What's Eating Gilbert Grape (1993),14
436,American Werewolf in London,14
1012,Private Parts (1997),13
640,Cook the Thief His Wife & Her Lover,13
744,Michael Collins (1996),13
448,Omen,13
128,Supercop (1992),13
491,Adventures of Robin Hood,13
392,Man Without a Face,13
902,Big Lebowski,13
101,Heavy Metal (1981),13
371,Bridges of Madison County,13
62,Stargate (1994),13
220,Mirror Has Two Faces,13
490,To Catch a Thief (1955),13
155,Dirty Dancing (1987),13
492,East of Eden (1955),13
322,Murder at 1600 (1997),13
163,Return of the Pink Panther,13
502,Bananas (1971),13
522,Down by Law (1986),13
928,Craft,12
778,Don Juan DeMarco (1995),12
727,Immortal Beloved (1994),12
291,Absolute Power (1997),12
38,Net,12
676,Crucible,12
297,Ulee's Gold (1997),12
311,Wings of the Dove,12
420,Alice in Wonderland (1951),12
94,Home Alone (1990),12
1063,Little Princess,12
549,Rob Roy (1995),12
344,Apostle,12
277,Restoration (1995),12
959,Dazed and Confused (1993),12
715,To Die For (1995),12
671,Bride of Frankenstein (1935),12
689,Jackal,12
380,Star Trek: Generations (1994),12
416,Old Yeller (1957),12
662,Somewhere in Time (1980),12
240,Beavis and Butt-head Do America (1996),12
642,Grifters,12
747,Benny & Joon (1993),12
896,Sweet Hereafter,12
895,Scream 2 (1997),12
898,Postman,11
3,Four Rooms (1995),11
295,Breakdown (1997),11
334,U Turn (1997),11
1137,Beautiful Thing (1996),11
741,Last Supper,11
945,Charade (1963),11
856,Night on Earth (1991),11
253,Pillow Book,11
966,Affair to Remember,11
686,Perfect World,11
708,Sex,11
721,Mallrats (1995),11
740,Jane Eyre (1996),11
477,Matilda (1996),11
675,Nosferatu (Nosferatu,11
584,Secret Garden,11
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),11
26,Brothers McMullen,11
449,Star Trek: The Motion Picture (1979),11
716,Home for the Holidays (1995),11
644,Thin Blue Line,10
1119,Some Kind of Wonderful (1987),10
1009,Stealing Beauty (1996),10
646,Once Upon a Time in the West (1969),10
312,Midnight in the Garden of Good and Evil (1997),10
287,Marvin's Room (1996),10
1203,Top Hat (1935),10
280,Up Close and Personal (1996),10
922,Dead Man (1995),10
578,Demolition Man (1993),10
614,Giant (1956),10
673,Cape Fear (1962),10
781,French Kiss (1995),10
1240,Ghost in the Shell (Kokaku kidotai) (1995),10
473,James and the Giant Peach (1996),10
252,Lost World: Jurassic Park,10
1194,Once Were Warriors (1994),10
224,Ridicule (1996),10
1019,Die xue shuang xiong (Killer,10
461,Smoke (1995),10
710,Better Off Dead... (1985),10
233,Under Siege (1992),10
325,Crash (1996),10
553,Walk in the Clouds,10
160,Glengarry Glen Ross (1992),10
724,Circle of Friends (1995),10
682,I Know What You Did Last Summer (1997),10
616,Night of the Living Dead (1968),10
755,Jumanji (1995),10
961,Orlando (1993),9
1022,Fast,9
345,Deconstructing Harry (1997),9
613,My Man Godfrey (1936),9
278,Bed of Roses (1996),9
236,Citizen Ruth (1996),9
538,Anastasia (1997),9
72,Mask,9
354,Wedding Singer,9
880,Soul Food (1997),9
467,Bronx Tale,9
627,Robin Hood: Prince of Thieves (1991),9
847,Looking for Richard (1996),9
2,GoldenEye (1995),9
678,Volcano (1997),9
411,Nutty Professor,9
612,Lost Horizon (1937),9
993,Hercules (1997),9
936,Brassed Off (1996),9
17,From Dusk Till Dawn (1996),9
546,Broken Arrow (1996),9
259,George of the Jungle (1997),9
39,Strange Days (1995),9
67,Ace Ventura: Pet Detective (1994),9
339,Mad City (1997),9
466,Red Rock West (1992),9
679,Conan the Barbarian (1981),9
873,Picture Perfect (1997),8
281,River Wild,8
399,Three Musketeers,8
123,Frighteners,8
664,Paris,8
1221,When a Man Loves a Woman (1994),8
387,Age of Innocence,8
634,Microcosmos: Le peuple de l'herbe (1996),8
653,Touch of Evil (1958),8
358,Spawn (1997),8
30,Belle de jour (1967),8
610,Gigi (1958),8
107,Moll Flanders (1996),8
638,Return of Martin Guerre,8
1041,Forget Paris (1995),8
602,American in Paris,8
1160,Love! Valour! Compassion! (1997),8
90,So I Married an Axe Murderer (1993),8
729,Nell (1994),8
949,How to Make an American Quilt (1995),8
639,Tin Drum,8
872,Love Jones (1997),8
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),8
468,Rudy (1993),8
697,Basketball Diaries,8
562,Quick and the Dead,8
720,First Knight (1995),8
753,Burnt By the Sun (1994),8
900,Kundun (1997),8
672,Candyman (1992),7
365,Powder (1995),7
581,Kalifornia (1993),7
754,Red Corner (1997),7
414,My Favorite Year (1982),7
836,Ninotchka (1939),7
837,Meet John Doe (1941),7
815,One Fine Day (1996),7
547,Young Poisoner's Handbook,7
1129,Chungking Express (1994),7
232,Young Guns (1988),7
794,It Could Happen to You (1994),7
881,Money Talks (1997),7
49,I.Q. (1994),7
1014,Romy and Michele's High School Reunion (1997),7
500,Fly Away Home (1996),7
955,Before Sunrise (1995),7
904,Ma vie en rose (My Life in Pink) (1997),7
1220,Higher Learning (1995),7
1020,Gaslight (1944),7
601,For Whom the Bell Tolls (1943),7
1025,Fire Down Below (1997),7
863,Garden of Finzi-Contini,7
458,Nixon (1995),7
946,Fox and the Hound,7
495,Around the World in 80 Days (1956),7
609,Father of the Bride (1950),7
853,Braindead (1992),7
1050,Ghost and Mrs. Muir,7
417,Parent Trap,7
629,Victor/Victoria (1982),7
1005,Double vie de V�ronique,7
561,Mary Shelley's Frankenstein (1994),7
1067,Bottle Rocket (1996),7
206,Akira (1988),7
645,Paris Is Burning (1990),7
825,Arrival,7
780,Dumb & Dumber (1994),7
665,Alien 3 (1992),7
140,Homeward Bound: The Incredible Journey (1993),7
44,Dolores Claiborne (1994),7
990,Anna Karenina (1997),7
1084,Anne Frank Remembered (1995),7
984,Shadow Conspiracy (1997),6
844,Freeway (1996),6
1010,Basquiat (1996),6
260,Event Horizon (1997),6
366,Dangerous Minds (1995),6
1134,Get on the Bus (1996),6
225,101 Dalmatians (1996),6
952,Blue in the Face (1995),6
5,Copycat (1995),6
595,Fan,6
543,Mis�rables,6
580,Englishman Who Went Up a Hill,6
299,Hoodlum (1997),6
789,Swimming with Sharks (1995),6
1098,Flirting With Disaster (1996),6
874,Career Girls (1997),6
1126,Old Man and the Sea,6
356,Client,6
464,Vanya on 42nd Street (1994),6
266,Kull the Conqueror (1997),6
625,Sword in the Stone,6
989,Cats Don't Dance (1997),6
1121,Umbrellas of Cherbourg,6
930,Chain Reaction (1996),6
886,Life Less Ordinary,6
756,Father of the Bride Part II (1995),6
745,Ruling Class,6
21,Muppet Treasure Island (1996),6
1074,Reality Bites (1994),6
29,Batman Forever (1995),6
1017,Trees Lounge (1996),6
1047,Multiplicity (1996),6
1070,Living in Oblivion (1995),6
359,Assignment,6
636,Escape from New York (1981),6
1278,Selena (1997),5
122,Cable Guy,5
389,Black Beauty (1994),5
971,Mediterraneo (1991),5
535,Addicted to Love (1997),5
108,Kids in the Hall: Brain Candy (1996),5
243,Jungle2Jungle (1997),5
1136,Ghosts of Mississippi (1996),5
909,Dangerous Beauty (1998),5
1143,Hard Eight (1996),5
1152,In Love and War (1996),5
63,Santa Clause,5
882,Washington Square (1997),5
749,MatchMaker,5
1197,Family Thing,5
115,Haunted World of Edward D. Wood Jr.,5
329,Desperate Measures (1998),5
1176,Welcome To Sarajevo (1997),5
768,Casper (1995),5
865,Ice Storm,5
975,Fear (1996),5
1449,Pather Panchali (1955),5
1024,Mrs. Dalloway (1997),5
1118,Up in Smoke (1978),5
1103,Trust (1990),5
760,Screamers (1995),5
1060,Adventures of Pinocchio,5
85,Ref,5
231,Batman Returns (1992),5
361,Incognito (1997),5
723,Boys on the Side (1995),5
537,My Own Private Idaho (1991),5
261,Air Bud (1997),5
752,Replacement Killers,5
309,Deceiver (1997),5
412,Very Brady Sequel,5
680,Kull the Conqueror (1997),5
401,Brady Bunch Movie,5
835,Gay Divorcee,5
159,Basic Instinct (1992),5
1011,2 Days in the Valley (1996),5
54,Outbreak (1995),5
1286,Shall We Dance? (1937),5
864,My Fellow Americans (1996),5
102,Aristocats,5
854,Bad Taste (1987),5
576,Cliffhanger (1993),5
979,Trigger Effect,5
1062,Four Days in September (1997),5
958,To Live (Huozhe) (1994),5
244,Smilla's Sense of Snow (1997),4
730,Queen Margot (Reine Margot,4
1172,Women,4
379,Tales From the Crypt Presents: Demon Knight (1995),4
939,Murder in the First (1995),4
968,Inspector General,4
806,Menace II Society (1993),4
1099,Red Firecracker,4
1558,Aparajito (1956),4
770,Devil in a Blue Dress (1995),4
944,Renaissance Man (1994),4
1159,Stalker (1979),4
106,Diabolique (1996),4
1135,Doors,4
1149,Walkabout (1971),4
372,Jeffrey (1995),4
1154,Alphaville (1965),4
1199,Cemetery Man (Dellamorte Dellamore) (1994),4
370,Mary Reilly (1996),4
702,Barcelona (1994),4
943,Killing Zoe (1994),4
384,Naked Gun 33 1/3: The Final Insult (1994),4
906,Oscar & Lucinda (1997),4
452,Jaws 2 (1978),4
1097,Hate (Haine,4
1053,Now and Then (1995),4
1008,I Shot Andy Warhol (1996),4
1296,Indian Summer (1996),4
459,Cry,4
941,With Honors (1994),4
888,One Night Stand (1997),4
649,Once Upon a Time in America (1984),4
1512,World of Apu,4
338,Bean (1997),4
409,Jack (1996),4
41,Billy Madison (1995),4
336,Playing God (1997),4
330,187 (1997),4
785,Only You (1994),4
846,To Gillian on Her 37th Birthday (1996),4
1131,Safe (1995),4
937,Thousand Acres,4
878,That Darn Cat! (1997),4
350,Fallen (1998),4
718,In the Bleak Midwinter (1995),4
624,Three Caballeros,4
717,Juror,4
833,Bulletproof (1996),4
942,What's Love Got to Do with It (1993),4
27,Bad Boys (1995),4
956,Nobody's Fool (1994),4
953,Unstrung Heroes (1995),4
1269,Love in the Afternoon (1957),4
960,Naked (1993),4
342,Man Who Knew Too Little,4
141,,4
916,Lost in Space (1998),4
1093,Live Nude Girls (1995),4
877,Excess Baggage (1997),4
826,Phantom,4
362,Blues Brothers 2000 (1998),4
670,Body Snatchers (1993),4
279,Once Upon a Time... When We Were Colored (1995),3
884,Year of the Horse (1997),3
925,Unforgettable (1996),3
1175,Hugo Pool (1997),3
774,Prophecy,3
1109,Death and the Maiden (1994),3
965,Funny Face (1957),3
899,Winter Guest,3
772,Kids (1995),3
889,Tango Lesson,3
167,Private Benjamin (1980),3
623,Angels in the Outfield (1994),3
696,City Hall (1996),3
290,Fierce Creatures (1997),3
1368,Mina Tannenbaum (1994),3
1192,Boys of St. Vincent,3
583,Romeo Is Bleeding (1993),3
1204,To Be or Not to Be (1942),3
1042,Just Cause (1995),3
915,Primary Colors (1998),3
883,Telling Lies in America (1997),3
630,Great Race,3
1167,Sum of Us,3
951,Indian in the Cupboard,3
871,Vegas Vacation (1997),3
46,Exotica (1994),3
256,When the Cats Away (Chacun cherche son chat) (1996),3
1090,Sliver (1993),3
1110,Tank Girl (1995),3
875,She's So Lovely (1997),3
450,Star Trek V: The Final Frontier (1989),3
386,Addams Family Values (1993),3
1404,Withnail and I (1987),3
995,Kiss Me,3
149,Jude (1996),3
158,Weekend at Bernie's (1989),3
1367,Faust (1994),3
1262,Walking and Talking (1996),3
1451,Foreign Correspondent (1940),3
769,Congo (1995),3
1051,Associate,3
1265,Star Maps (1997),3
986,Turbulence (1997),3
1105,Firestorm (1998),3
369,Black Sheep (1996),3
1268,Bitter Moon (1992),3
503,Candidate,3
831,Escape from L.A. (1996),3
567,Wes Craven's New Nightmare (1994),3
532,Kama Sutra: A Tale of Love (1996),3
1251,A Chef in Love (1996),3
1218,Friday (1995),3
573,Body Snatchers (1993),3
681,Wishmaster (1997),3
396,Serial Mom (1994),3
932,First Kid (1996),3
263,Steel (1997),3
16,French Twist (Gazon maudit) (1995),3
1153,Backbeat (1993),3
1195,Strawberry and Chocolate (Fresa y chocolate) (1993),3
119,Maya Lin: A Strong Clear Vision (1994),3
1157,Relic,3
552,Species (1995),3
892,Flubber (1997),3
1245,Gridlock'd (1997),3
977,Substitute,3
793,Crooklyn (1994),3
1277,Set It Off (1996),3
593,Stalingrad (1993),3
1069,Amateur (1994),3
805,Manhattan Murder Mystery (1993),3
554,Waterworld (1995),3
1524,Kaspar Hauser (1993),3
541,Mortal Kombat (1995),3
608,Spellbound (1945),3
1375,Cement Garden,3
687,McHale's Navy (1997),3
76,Carlito's Way (1993),3
352,Spice World (1997),3
142,Bedknobs and Broomsticks (1971),3
1293,Star Kid (1997),3
1298,Band Wagon,3
113,Horseman on the Roof,3
341,Critical Care (1997),3
1189,Prefontaine (1997),3
394,Radioland Murders (1994),2
337,House of Yes,2
1233,N�nette et Boni (1996),2
1302,Late Bloomers (1996),2
1079,Joe's Apartment (1996),2
1592,Magic Hour,2
811,Thirty-Two Short Films About Glenn Gould (1993),2
1174,Caught (1996),2
796,Speechless (1994),2
1163,Portrait of a Lady,2
1034,Quest,2
542,Pocahontas (1995),2
1170,Spanking the Monkey (1994),2
1473,Little Princess,2
1048,She's the One (1996),2
761,Nick of Time (1995),2
737,Sirens (1994),2
1046,Malice (1993),2
816,Candyman: Farewell to the Flesh (1995),2
557,Farinelli: il castrato (1994),2
349,Hard Rain (1998),2
843,Shaggy Dog,2
1115,Twelfth Night (1996),2
1044,Paper,2
351,Prophecy II,2
1591,Duoluo tianshi (1995),2
1466,Margaret's Museum (1995),2
1166,Love & Human Remains (1993),2
914,Wild Things (1998),2
445,Body Snatcher,2
605,Meet Me in St. Louis (1944),2
674,Cat People (1982),2
138,D3: The Mighty Ducks (1996),2
1171,Wild Reeds (1994),2
998,Cabin Boy (1994),2
823,Mulholland Falls (1996),2
40,To Wong Foo,2
722,Nine Months (1995),2
1095,High School High (1996),2
617,Blue Angel,2
364,Ace Ventura: When Nature Calls (1995),2
691,Dark City (1998),2
622,Swiss Family Robinson (1960),2
1280,Gang Related (1997),2
460,Crossing Guard,2
1089,Speed 2: Cruise Control (1997),2
683,Rocket Man (1997),2
938,Smile Like Yours,2
572,Blown Away (1994),2
850,Perfect Candidate,2
980,Mother Night (1996),2
876,Money Talks (1997),2
1217,Assassins (1995),2
1462,Thieves (Voleurs,2
1018,Tie Me Up! Tie Me Down! (1990),2
1045,Fearless (1993),2
534,Traveller (1997),2
1168,Little Buddha (1993),2
1426,Grace of My Heart (1996),2
360,Wonderland (1997),2
1035,Cool Runnings (1993),2
731,Corrina,2
820,Space Jam (1996),2
842,Pollyanna (1960),2
536,Ponette (1996),2
974,Eye for an Eye (1996),2
1266,Bread and Chocolate (Pane e cioccolata) (1973),2
1193,Before the Rain (Pred dozhdot) (1994),2
355,Sphere (1998),2
849,Days of Thunder (1990),2
1405,Boy's Life 2 (1997),2
1428,SubUrbia (1997),2
308,FairyTale: A True Story (1997),2
426,Transformers: The Movie,2
1033,Homeward Bound II: Lost in San Francisco (1996),2
80,Hot Shots! Part Deux (1993),2
139,Love Bug,2
618,Picnic (1955),2
926,Down Periscope (1996),2
1113,Mrs. Parker and the Vicious Circle (1994),2
821,Mrs. Winterbourne (1996),2
1059,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2
575,City Slickers II: The Legend of Curly's Gold (1994),2
800,In the Mouth of Madness (1995),2
563,Stephen King's The Langoliers (1995),2
1086,It's My Party (1995),2
947,Big Blue,2
703,Widows' Peak (1994),2
733,Go Fish (1994),2
1006,Until the End of the World (Bis ans Ende der Welt) (1991),2
1058,War,2
1114,Faithful (1996),2
934,Preacher's Wife,2
533,Daytrippers,2
810,Shadow,2
827,Daylight (1996),2
1500,Santa with Muscles (1996),2
701,Wonderful,2
1244,Metro (1997),2
544,Things to Do in Denver when You're Dead (1995),2
1210,Virtuosity (1995),2
867,Whole Wide World,2
954,Unzipped (1995),2
1139,Hackers (1995),2
787,Roommates (1995),2
1188,Young Guns II (1990),2
1085,Carried Away (1996),2
1061,Evening Star,2
1066,Balto (1995),2
390,Fear of a Black Hat (1993),2
1036,Drop Dead Fred (1991),2
695,Kicking and Screaming (1995),2
1190,That Old Feeling (1997),2
120,Striptease (1996),2
391,Last Action Hero (1993),2
908,Half Baked (1998),2
1401,M. Butterfly (1993),2
1038,Switchback (1997),2
1643,Angel Baby (1995),2
1094,Thin Line Between Love and Hate,2
1282,Grass Harp,2
1628,Lamerica (1994),2
1169,Fresh (1994),2
1015,Shiloh (1997),2
592,True Crime (1995),2
1612,Leading Man,2
851,Two or Three Things I Know About Her (1966),2
